Date,Open,High,Low,Close,Adj Close,Volume
2021-06-10,13834.259766,13962.980469,13817.830078,13960.349609,13960.349609,4889500000
2021-06-11,13959.469727,13998.650391,13934.000000,13998.299805,13998.299805,4140190000
2021-06-14,14002.139648,14129.330078,13963.940430,14128.200195,14128.200195,4394380000
2021-06-15,14120.809570,14126.259766,14008.929688,14030.410156,14030.410156,4517770000
2021-06-16,14053.120117,14100.110352,13843.599609,13983.009766,13983.009766,4632480000
2021-06-17,13946.700195,14205.429688,13946.519531,14163.809570,14163.809570,4526780000
2021-06-18,14125.120117,14140.620117,14024.599609,14049.580078,14049.580078,6105960000
2021-06-21,14055.040039,14150.910156,13967.889648,14137.230469,14137.230469,4523120000
2021-06-22,14140.299805,14288.490234,14128.009766,14270.419922,14270.419922,4405260000
2021-06-23,14275.089844,14324.740234,14247.580078,14274.240234,14274.240234,4394600000
2021-06-24,14358.299805,14429.139648,14337.650391,14365.959961,14365.959961,4297280000
2021-06-25,14396.629883,14401.709961,14324.259766,14345.179688,14345.179688,7436800000
2021-06-28,14401.629883,14530.070313,14400.589844,14524.980469,14524.980469,4235620000
2021-06-29,14523.629883,14575.190430,14481.849609,14572.750000,14572.750000,4842860000
2021-06-30,14560.070313,14582.299805,14530.870117,14554.799805,14554.799805,5264790000
2021-07-01,14530.629883,14576.639648,14483.419922,14560.049805,14560.049805,4371620000
2021-07-02,14633.509766,14738.139648,14626.820313,14727.629883,14727.629883,3731730000
2021-07-06,14755.150391,14797.450195,14635.309570,14786.360352,14786.360352,4464780000
2021-07-07,14889.759766,14891.190430,14735.750000,14810.540039,14810.540039,4582030000
2021-07-08,14577.669922,14763.669922,14551.759766,14722.139648,14722.139648,4550600000
2021-07-09,14709.320313,14838.719727,14685.540039,14826.089844,14826.089844,3809040000
2021-07-12,14878.709961,14899.459961,14813.790039,14877.889648,14877.889648,3864500000
2021-07-13,14871.040039,15002.280273,14843.799805,14874.540039,14874.540039,4553380000
2021-07-14,14984.860352,15001.129883,14871.730469,14900.440430,14900.440430,4461730000
2021-07-15,14903.490234,14907.509766,14717.549805,14794.690430,14794.690430,4493540000
2021-07-16,14842.080078,14875.969727,14667.099609,14681.379883,14681.379883,4048940000
2021-07-19,14517.959961,14578.959961,14455.070313,14549.089844,14549.089844,4507040000
2021-07-20,14601.339844,14790.599609,14530.780273,14728.209961,14728.209961,4618980000
2021-07-21,14723.669922,14843.169922,14710.110352,14842.629883,14842.629883,4075150000
2021-07-22,14865.469727,14941.379883,14865.469727,14940.169922,14940.169922,3574560000
2021-07-23,15004.429688,15125.839844,14948.040039,15111.790039,15111.790039,3959410000
2021-07-26,15088.280273,15142.349609,15048.230469,15125.950195,15125.950195,4409960000
2021-07-27,15103.009766,15107.740234,14787.799805,14956.969727,14956.969727,4300000000
2021-07-28,15005.169922,15078.849609,14913.549805,15018.099609,15018.099609,4235390000
2021-07-29,15015.299805,15091.959961,15004.419922,15048.360352,15048.360352,3904590000
2021-07-30,14882.389648,14990.860352,14882.389648,14959.900391,14959.900391,3628750000
2021-08-02,15046.099609,15059.889648,14945.129883,14963.620117,14963.620117,3738200000
2021-08-03,14997.200195,15063.660156,14864.530273,15061.419922,15061.419922,4117520000
2021-08-04,15059.160156,15117.379883,15017.139648,15083.389648,15083.389648,4319400000
2021-08-05,15105.400391,15184.269531,15083.839844,15181.639648,15181.639648,4087320000
2021-08-06,15125.740234,15162.339844,15063.019531,15109.360352,15109.360352,4159050000
